,smiles,Anti_Aging_Prob,AIC_Prob1,CS_Prob1,DNS_Prob1,EA_Prob1,GI_Prob1,LP_Prob1,MD_Prob1,SCE_Prob1,TA_Prob1,AMES_Prob1,BBB_Prob1,CYP1A2_Prob1,CYP2C19_Prob1,CYP2C9_Prob1,CYP2D6_Prob1,CYP3A4_Prob1,DILI_Prob1,Hepato_Prob1,hERG_Prob1,HLM_Prob1,MMP_Prob1,P-gp_Inhibitor_Prob1,P-gp_Substrate_Prob1,MRTD (mg/day)
0,COc1ccc2c(c1)c(CCNC(=O)C)c[nH]2,0.8675105730840819,0.37531146688624467,0.4079384334249297,0.0006829449241187512,0.00784661352670185,0.004629629629629629,0.8344534651948513,0.30331627,0.5254,0.858,0.0003183666,0.9997055,0.7315419,0.12024433842230861,0.19324437,0.05821997302347839,0.05952176221053117,0.20861917967974203,0.2404341709341145,0.0904356883887915,0.015916651,0.031877987,0.07451923076923077,0.2217255489291215,-5.467403755915181
1,OC[C@H]1O[C@@H]([C@@H]([C@@H]1OP(=O)(O[C@@H](CNC(=O)CC[C@@]1(C)C2=N[C@H]([C@@H]1CC(=O)N)[C@]1(C)[N-]/C(=C(/C)\C3=N/C(=C\C4=N/C(=C\2/C)/[C@@H](CCC(=O)N)C4(C)C)/[C@H]([C@]3(C)CC(=O)N)CCC(=O)N)/[C@H]([C@]1(C)CC(=O)N)CCC(=O)N)C)[O-])O)n1cnc2c1cc(C)c(c2)C.[C-]#N.[Co+3],0.7944861738865324,0.09662766487247106,0.5920660570196841,0.013800958878565844,0.00426759604152376,0.009259259259259259,0.46184388161451256,0.0051922,0.5352,0.32,0.0009226869,3.1822985e-06,4.5753504e-06,0.07886336895828126,0.013679952,0.06909265496869746,0.052697023794551275,0.2995382171005606,0.1732035128422511,0.2311514792029198,0.018663157,0.1005491,0.2764423076923077,0.887131068643875,-5.147743313529411
2,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O)O.O,0.8971143082179424,0.08080963067702703,0.22306038920458496,0.009111502152797754,0.003933512015706672,0.0,0.3504011328746952,0.04584975,0.768,0.884,0.008961639,2.0723379e-05,0.00012809379,0.06421431579602536,0.008654947,0.04620328437451425,0.04269840506603171,0.22793650099821883,0.1851315364659687,0.04682165170833404,0.03450982,0.004553448,0.02403846153846154,0.0681059765958988,-3.842359740221374
3,OC(=O)CCCc1c[nH]c2c1cccc2,0.607058945312284,0.2591205669823732,0.2354848680683663,0.0008389674307905409,0.006848155831053295,0.0,0.48440607994068974,0.118197955,0.475,1.0,2.1589634e-05,0.2377033,0.0023595304,0.07734315783101428,0.025377188,0.06041041843428744,0.07270034057486989,0.2857449318437706,0.0821366826642052,0.04174288855680979,0.059413552,0.055178724,0.03365384615384615,0.15884499751819378,-4.422064427875971
4,O[C@@H]1CC[C@]2([C@@H](C1)[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C,0.8570931316249182,0.030069027109687004,0.532564590262826,0.004174528614922361,0.008674618259113252,0.0,0.3489308384827374,0.005830249,0.419,0.964,0.05754497,1.2579948e-05,6.15194e-05,0.038295792641776565,0.04006065,0.044719483886853116,0.05845566829394879,0.6769125047583188,0.07388716058386216,0.08768798737498897,0.1752203,0.124853365,0.22596153846153846,0.4842319825361093,-6.3342798869137935
5,O=C[C@@H]([C@@H]([C@H]([C@@H](O)C)O)O)O.O,0.9028132540312083,0.033791224057794014,0.12019093411772888,0.004711501785732904,0.003017553094640164,0.0,0.8624365550965793,0.010298731,0.6778,0.852,0.1526578,8.7413736e-07,0.00025646476,0.04594200811812207,0.0071143485,0.060510116398277414,0.0499615361680366,0.4758288163048156,0.24269217952527472,0.07217054918611787,0.01981092,0.0034106,0.0,0.06573938816404085,-3.842359740221374
6,Oc1ccc(cc1)CCC(=O)c1c(O)cc(cc1O)O,0.7793504542507931,0.6837349101493339,0.16609529215823013,0.009661534730972358,0.17875254695635479,0.0,0.8595023508856157,0.08021737,0.285,0.814,0.008965037,1.8248344e-05,0.6971947,0.9054117516514026,0.75989246,0.06723556012765913,0.928287014349918,0.5243645458817172,0.07852843241755235,0.04304946894021078,0.03891142,0.9268974,0.07211538461538461,0.11189785712950208,-4.422064427875971
7,O[C@@H]1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.6797532084986412,0.060247522492726364,0.23779110429336145,0.003467430489912738,0.004230260566923219,0.0,0.517523669907426,0.11491167,0.6486,0.852,0.00010959477,1.6174276e-06,6.4319124e-06,0.07175177102519359,0.0039120745,0.060343157127599543,0.03722584643582825,0.33853603053323933,0.16808458474605084,0.04266150849697003,0.008772758,0.0036990654,0.04567307692307692,0.07803920331070158,-4.422064427875971
8,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.9244527130354789,0.04065780369096609,0.21757299642001565,0.01528319697139244,0.002623706399918356,0.0,0.5504946864157484,0.008419563,0.757,0.894,0.00027821658,9.083324e-07,1.30864855e-05,0.0657478138526942,0.011978749,0.05551286934224288,0.03028393183437322,0.3221261918655874,0.23927668072483307,0.07052171499239436,0.048588723,0.0043918276,0.0,0.04956915895424955,-3.842359740221374
9,OCc1c(CO)cnc(c1O)C.Cl,0.8634661039049091,0.07079413301390836,0.12320611453312567,0.0195374652656833,0.002346259539429925,0.0,0.8942837549012129,0.10569817,0.527,0.806,0.0024867167,6.535652e-07,0.00028714028,0.06077544364754441,0.0096202595,0.0483910489049751,0.036268186868627865,0.3830829084611691,0.13115660317291136,0.05597518686723389,0.16982692,0.01200567,0.009615384615384616,0.1161699067713908,-3.842359740221374
10,OC(=O)CCCC[C@H]1SC[C@H]2[C@@H]1NC(=O)N2,0.6448327137323693,0.198005180561301,0.20501507204137745,0.0028485898647519817,0.003800968546049584,0.0,0.6440803754978408,0.4327509,0.4104,0.666,3.3585515e-05,2.7019038e-05,1.2248921e-05,0.04785828489088584,0.0023941284,0.04077329140212134,0.03157940514363133,0.45743403163158136,0.18252226850716108,0.06950607650372195,0.061425686,0.0021824683,0.014423076923076924,0.1271859502722241,-4.422064427875971
11,[O-]C(=O)c1ccccc1O.[Na+],0.941891037444121,0.0005423279655748757,0.18163528956994432,0.007424264731734914,0.01994035584627785,0.0,0.9561294980115321,0.0022064226,0.4148,0.898,0.56628174,3.254134e-05,3.508841e-05,0.11247612267640314,0.011935299,0.05800573084727982,0.03516311349437942,0.7078829789602875,0.19307785149726242,0.04532927074202801,0.16478641,0.021424625,0.0,0.16505778148988715,-4.422064427875971
12,NCCc1c[nH]c2c1cccc2,0.13869204580435288,0.14559372975275364,0.2599820244509994,0.004597256543014131,0.004370279216963557,0.0,0.8042244618699838,0.009350606,0.6592,0.896,0.006783972,0.99918133,0.75606257,0.05708751966270277,0.02905319,0.08268643489064886,0.058424201826850486,0.10714120862248352,0.14466789582021092,0.1800234712448447,0.05274733,0.020339929,0.0,0.17123726011007667,-6.3342798869137935
13,COc1cc(cc(c1O)OC)C(=O)O,0.8207653852174274,0.015752404465990556,0.233485219922274,0.005348670562058291,0.10256735662811273,0.0,0.8512873257265693,0.00894496,0.4078,0.978,0.0012756925,2.8274172e-08,0.0017717986,0.0744793261294018,0.03237783,0.0553549413608781,0.04184321005694657,0.6875118809932559,0.10718772881773173,0.0716162894429505,0.27738103,0.0067959386,0.0,0.0992403387450611,-4.422064427875971
14,NCCCNCCCCN.Cl.Cl.Cl,0.6074706671237966,0.02069947863189895,0.20954871720006937,0.0017911706616146566,0.0032344526529737966,0.0,0.9161748586831253,0.003755881,0.5644,0.958,0.036352243,0.00023083795,0.00038310638,0.06228209226263118,0.0217136,0.060630252204442486,0.04227234064449936,0.19426569477479128,0.22590686817258285,0.04233870832058671,0.18096755,0.0054295794,0.004807692307692308,0.26463319613415276,-4.422064427875971
15,OC(=O)/C=C/c1ccccc1,0.7950276220999483,0.28304074379090943,0.5143957251009438,0.0290734590025702,0.9999999818585001,0.0,0.5346022533553269,0.11922176,0.1944,0.85,0.00064909353,7.006733e-05,0.1916112,0.04577608105533659,0.085634224,0.039172602744687014,0.024590338724613813,0.5733362544942173,0.15014172726253258,0.079855231466971,0.14654772,0.041519493,0.0673076923076923,0.09133737768899364,-4.422064427875971
16,NC(=O)N,0.7636229892117051,0.016090590415115447,0.1051393639534209,0.003333212877758078,0.0038506188897057124,0.0,0.8167982526357385,0.00091458927,0.524,0.902,0.053657964,6.079651e-06,0.00053805765,0.053065251463194164,0.005890097,0.06183515624403591,0.047101839257283264,0.33653487939681587,0.1958804867167167,0.03926413726935101,0.23907505,0.00555434,0.0,0.1596638363995154,-3.842359740221374
17,Oc1ccc(cc1)C(=O)O,0.8834071020585721,0.0036969777737171825,0.33264087643679185,0.019022657159266942,0.2283824384418154,0.0,0.8153023927751785,0.0021001156,0.477,0.982,1.733905e-05,4.2512212e-07,0.00013271149,0.08093155450449652,0.021264078,0.052965995731316634,0.06731996267287368,0.5645845622878316,0.13619167693565418,0.047639876303879856,0.22768469,0.02770143,0.004807692307692308,0.07263491960741938,-4.422064427875971
18,[O-]C(=O)C[N+](C)(C)C,0.8675330093317444,0.0019612468210572186,0.16166383760579195,0.00404306327848299,0.0033191419813111567,0.0,0.9051257519659593,0.0010217436,0.5788,0.792,0.0002879611,5.7820573e-05,0.0004829388,0.05766055732239534,0.016498037,0.03675096292198462,0.029916870343103294,0.19456419747420123,0.17508098359316895,0.02124996872817733,0.16151941,0.0075355535,0.004807692307692308,0.14433619154977154,-3.842359740221374
19,OCCc1ccc(cc1)O,0.8674184041254435,0.007520990713124333,0.10626936632993478,0.03983594955718195,0.008137240986273648,0.0,0.9258831734501864,0.0010868474,0.5076,0.908,0.002592058,0.0012148294,0.00014977212,0.053903790415110266,0.028686544,0.05235142538628339,0.07725147612402068,0.4437894390513434,0.09939335616430951,0.031473199425825514,0.22142635,0.10810033,0.004807692307692308,0.0700755316014385,-4.422064427875971
20,OC(=O)CCC(=O)O,0.9242709148488275,0.0048291250532777885,0.17328625649172133,0.013511233034470702,0.0023303426013605534,0.0,0.9357395568938147,0.019852415,0.3942,0.9,0.0025532455,6.4044484e-06,0.0011215466,0.05864431823878231,0.009151,0.04594296669196463,0.02807978442194349,0.3953400652794173,0.12908592674753114,0.041967049653745314,0.048531476,0.003589038,0.004807692307692308,0.05341094285190997,-4.422064427875971
21,OC(=O)CCc1ccc(cc1)O,0.8964039310499348,0.005704656594591591,0.1994088171313022,0.0030836320619038664,0.11335329506123219,0.0,0.8839452332961918,0.07196349,0.3302,0.944,3.6272348e-05,6.243961e-06,0.00017812653,0.07660019645483446,0.026895326,0.051172834575540845,0.03328936711592553,0.5836608059926371,0.06108100708438665,0.0579714467287794,0.04098951,0.0112870205,0.0,0.0592094599259827,-4.422064427875971
22,Oc1ccc(c(c1)C(=O)O)O,0.8958027754299679,0.06098961213713769,0.19451831323137853,0.016104776072790553,0.01929681651945737,0.0,0.8545851425496478,0.0033244179,0.452,0.976,0.00015654767,3.6158806e-07,0.0061152936,0.14486218236880355,0.10544105,0.05055273473927907,0.04632131379405653,0.6789135729458976,0.07972829995096016,0.05458345020038349,0.60558534,0.06193862,0.0,0.10527636427435667,-4.422064427875971
23,OCCc1ccc(c(c1)O)O,0.7625450803519168,0.36260615409961505,0.12011194994869552,0.06761632433270648,0.004549729729174161,0.0,0.9155275241227099,0.01589658,0.5986,0.826,0.031953413,4.2784045e-06,0.00038663007,0.056215802101415774,0.042320367,0.05302179636578785,0.039180140242007666,0.512123833151052,0.10832538336235985,0.04910813178326853,0.074871704,0.021442229,0.004807692307692308,0.08598945618412088,-4.422064427875971
24,CC(=O)OCCc1ccc(c(c1)O)O,0.8683562910206368,0.2915928454449447,0.1440971059649889,0.01872358342837161,0.006036248103518604,0.0,0.927725756918674,0.27730712,0.4504,0.862,0.41859597,4.1135722e-06,0.008367723,0.09682725273035617,0.055802144,0.06092634062658181,0.02887495849345614,0.7859247417616526,0.08632208264873563,0.045399803035662566,0.042421818,0.21517466,0.03365384615384615,0.11830626481124222,-4.422064427875971
25,NC(=O)NC1NC(=O)NC1=O,0.8675090493401696,0.04426887073877472,0.1971555027553347,0.003573151056875672,0.0038361975523437362,0.0,0.5062656868278538,0.41117647,0.6004,0.844,0.8564522,1.2879468e-06,3.8592992e-05,0.05828249567356151,0.0019033717,0.061747856218062405,0.0564709512773969,0.5432760107192457,0.15594188337592632,0.051931026949270896,0.14666787,0.004653935,0.06009615384615385,0.08530146266662837,-3.842359740221374
26,O[C@@H]1CC[C@]2([C@@H](C1)C[C@H]([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)NCCS(=O)(=O)O)C)C)O)C,0.8289681014325219,0.05763471552587182,0.4733712701365349,0.0010117421355045936,0.0083655921453965,0.0,0.3940623123200501,0.09756495,0.4766,0.626,0.7541519,3.5269861e-06,1.70123e-05,0.04854570230135813,0.02174493,0.046203579863210956,0.08772926804466509,0.5287209415851157,0.1169771721339931,0.06519992629495912,0.050262004,0.123174876,0.49198717948717946,0.7472169893466898,-6.3342798869137935
27,Oc1c(O)cccc1O,0.9210081402901743,0.010593015540561983,0.16516088039437574,0.01304151129401118,0.0039033822592379167,0.0,0.9380090944737406,0.0034431966,0.4688,0.958,0.96805286,2.2590197e-07,0.0008096495,0.0813251465580502,0.013919902,0.05491794810861341,0.038483075331082,0.6811096867472404,0.15911046650527041,0.03959233203148358,0.67479813,0.63146377,0.0,0.13759220966669766,-4.422064427875971
28,O[C@H]1[C@H](C)O[C@H]([C@@H]([C@@H]1O)O)O.O,0.9201930410060246,0.038814092594434024,0.24392076713344532,0.010488841130303411,0.0035343999677392326,0.0,0.28373041357764384,0.05081282,0.7644,0.926,0.29011732,7.479861e-07,5.7286277e-05,0.0694754051238439,0.004213289,0.04833151115529578,0.04769449813858905,0.30966231588539755,0.14083106277413446,0.04764107569781084,0.037279658,0.0033894465,0.019230769230769232,0.10305963007940976,-3.842359740221374
29,OC(=O)c1ccc(c(c1)O)O,0.8674114816333324,0.03787871216983571,0.2711177286954591,0.019911519082653543,0.009773951820633241,0.0,0.8440137375598761,0.0021762177,0.4622,0.968,0.08712508,1.1632926e-08,0.0003341849,0.06946689718689793,0.06050114,0.04854340561516165,0.033022690108249354,0.6778474335612629,0.1453964026237615,0.03832763118188678,0.15119126,0.07815045,0.0,0.13445836313015344,-4.422064427875971
30,OCc1c(CO)cnc(c1O)C,0.9301339229369145,0.1079331610101141,0.18227001671152832,0.007612530879093349,0.002304063642397936,0.0,0.9336719572477329,0.1763369,0.5498,0.758,0.00448625,7.6156704e-07,0.00044873738,0.054000939737704506,0.0149518335,0.05906822484052592,0.027540115486198186,0.4187248121809644,0.15497613509380834,0.052031598388771666,0.20550935,0.007834103,0.0,0.08715177815697661,-4.422064427875971
31,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O.O.O,0.857048155942482,0.21417134632692014,0.29587489275346357,0.02191188091160924,0.0033989446538887106,0.0,0.23514900023343466,0.021081023,0.7926,0.916,0.01573245,1.750069e-05,1.7352979e-05,0.07309119404281647,0.007485628,0.04939071036851702,0.038116631732323526,0.26507851865904364,0.2452295787365668,0.07486242561060164,0.023954792,0.005913535,0.019230769230769232,0.07320524426539914,-3.842359740221374
32,O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)C,0.867429050435708,0.01259055804674043,0.4606290923933957,0.003426332908641155,0.007028134826076102,0.0,0.5544002611648123,0.012699359,0.3766,0.912,0.045895845,0.005956874,0.0011457191,0.06739324455428888,0.051861256,0.045736347314802514,0.05779799108457183,0.6534591626413404,0.09160573781286827,0.09047203994916313,0.54775155,0.38338214,1.0,0.40723466645530026,-5.471534081478993
33,OC(=O)c1ccccc1,0.9006767146177365,0.000723547465382863,0.296550162216683,0.005339767409821954,0.9626146082219479,0.0,0.8285149036378864,0.067120254,0.3232,0.986,0.0018172943,6.0483303e-06,0.00079906225,0.10486850068202441,0.008268462,0.05397550887683023,0.05366267670533407,0.7328779025421345,0.12806353629225928,0.05271342903069552,0.3444515,0.012732883,0.02403846153846154,0.07442951221656785,-4.422064427875971
