xmin,xmax,ymin,ymax,zmin,zmax,noproofsolve,bcproofsolve,bcverify,gacproofsolve,gacverify
-4,-3,7,14,7,17,64,2793,59130,9935,71331,
1,2,-3,6,5,13,347,10362,75514,12203,76687,
9,14,4,5,1,5,56,2835,60432,4650,62403,
-3,-1,-11,-7,-7,-3,61,2437,58938,5709,63857,
5,15,11,16,6,16,58,3072,60754,37612,113404,
3,8,0,0,-10,-4,58,2341,58005,3239,62526,
-2,1,-8,-5,0,11,233,6411,68230,14267,75742,
6,14,6,7,3,10,61,2897,59888,8923,69173,
-8,-7,1,6,-1,6,52,3027,60965,6290,65465,
-5,2,2,8,1,12,350,8747,74971,45745,121098,
1,12,3,5,-2,2,58,2848,59387,11041,73618,
-2,5,-10,-10,-10,-8,162,7127,73236,3035,60132,
-12,-5,11,20,-8,1,49,3328,61778,39382,118685,
4,9,4,7,9,13,56,2871,59416,7793,68485,
12,16,-3,-1,-6,-2,53,3256,61985,5462,64301,
-9,-4,-9,-7,-12,-5,61,3367,61490,9322,69524,
-12,-8,2,11,-9,1,51,3171,61866,27187,99544,
-4,0,12,12,-5,1,129,6527,68523,3225,60169,
4,14,4,6,-1,-1,59,2859,59263,3857,61585,
-5,-2,-8,-7,13,20,257,7789,72759,5551,65166,
-7,2,13,19,6,20,258,9081,76960,61885,147788,
10,20,-13,-12,2,15,51,3536,64289,16436,80101,
13,16,3,13,-12,-5,60,3483,61341,19961,86338,
14,23,2,12,14,27,58,3442,60637,77665,167402,
0,4,14,28,4,18,267,9303,73848,69532,157115,
10,19,-15,-15,3,18,50,3333,61234,9147,73095,
6,19,-8,-2,3,6,49,3573,61454,21643,89546,
0,7,-4,-4,10,12,50,2396,62361,2550,59777,
-4,-3,13,25,10,18,50,2817,59914,12892,75637,
-1,11,3,15,14,25,325,12342,81488,178279,297813,
1,6,4,17,-15,-4,56,2789,61649,50316,127833,
9,11,-16,0,-4,-2,71,5513,68407,10597,72713,
13,14,4,4,-4,-2,56,2682,61618,1522,57158,
8,18,-1,8,16,23,327,17155,101069,61709,145994,
