ID,DATE,AWAY,HOME
1,45231,BUF,PHI
2,45231,DAL,CGY
3,45231,STL,COL
4,45231,ARI,ANA
5,45232,TOR,BOS
6,45232,TBL,CBJ
7,45232,FLA,DET
8,45232,CAR,NYR
9,45232,LAK,OTT
10,45232,NYI,WSH
11,45232,NJD,MIN
12,45232,DAL,EDM
13,45232,MTL,ARI
14,45232,NSH,SEA
15,45232,WPG,VGK
16,45232,VAN,SJS
17,45233,PHI,BUF
18,45233,NJD,STL
19,45234,NSH,EDM
20,45234,WPG,ARI
21,45234,BOS,DET
22,45234,TBL,OTT
23,45234,LAK,PHI
24,45234,MTL,STL
25,45234,BUF,TOR
26,45234,CBJ,WSH
27,45234,CAR,NYI
28,45234,FLA,CHI
29,45234,NYR,MIN
30,45234,CGY,SEA
31,45234,PIT,SJS
32,45234,DAL,VAN
33,45234,COL,VGK
34,45235,NJD,CHI
35,45235,VGK,ANA
36,45236,CBJ,FLA
37,45236,TBL,TOR
38,45236,BOS,DAL
39,45236,EDM,VAN
40,45237,BUF,CAR
41,45237,TBL,MTL
42,45237,MIN,NYI
43,45237,DET,NYR
44,45237,WPG,STL
45,45237,SEA,ARI
46,45237,NSH,CGY
47,45237,PIT,ANA
48,45237,NJD,COL
49,45237,PHI,SJS
50,45238,OTT,TOR
51,45238,FLA,WSH
52,45238,LAK,VGK
53,45239,NYI,BOS
54,45239,DAL,CBJ
55,45239,MTL,DET
56,45239,MIN,NYR
57,45239,VAN,OTT
58,45239,CHI,TBL
59,45239,ARI,STL
60,45239,NSH,WPG
61,45239,SEA,COL
62,45239,PIT,LAK
63,45239,EDM,SJS
64,45240,MIN,BUF
65,45240,CAR,FLA
66,45240,WSH,NJD
67,45240,CGY,TOR
68,45240,PHI,ANA
69,45240,SJS,VGK
70,45241,CBJ,DET
71,45241,DAL,WPG
72,45241,BOS,MTL
73,45241,CGY,OTT
74,45241,CAR,TBL
75,45241,VAN,TOR
76,45241,WSH,NYI
77,45241,BUF,PIT
78,45241,ARI,NSH
79,45241,STL,COL
80,45241,EDM,SEA
81,45241,PHI,LAK
82,45242,CHI,FLA
83,45242,DAL,MIN
84,45242,VAN,MTL
85,45242,CBJ,NYR
86,45242,SJS,ANA
87,45243,NYI,EDM
88,45243,COL,SEA
89,45244,BOS,BUF
90,45244,PIT,CBJ
91,45244,CGY,MTL
92,45244,VGK,WSH
93,45244,ARI,DAL
94,45244,ANA,NSH
95,45244,TBL,STL
