ID,DATE,AWAY,HOME
1,45569,NJD,BUF
2,45570,BUF,NJD
3,45573,STL,SEA
4,45573,BOS,FLA
5,45573,CHI,UTA
6,45574,TOR,MTL
7,45574,NYR,PIT
8,45574,WPG,EDM
9,45574,CGY,VAN
10,45574,COL,VGK
11,45575,MTL,BOS
12,45575,LAK,BUF
13,45575,FLA,OTT
14,45575,PIT,DET
15,45575,TOR,NJD
16,45575,UTA,NYI
17,45575,DAL,NSH
18,45575,CBJ,MIN
19,45575,STL,SJS
20,45576,TBL,CAR
21,45576,CHI,WPG
22,45576,PHI,VAN
23,45576,STL,VGK
24,45577,LAK,BOS
25,45577,FLA,BUF
26,45577,PIT,TOR
27,45577,OTT,MTL
28,45577,NSH,DET
29,45577,CAR,TBL
30,45577,UTA,NYR
31,45577,NJD,WSH
32,45577,NYI,DAL
33,45577,SEA,MIN
34,45577,CBJ,COL
35,45577,PHI,CGY
36,45577,CHI,EDM
37,45577,ANA,SJS
38,45578,MIN,WPG
39,45578,SEA,DAL
40,45578,CGY,EDM
41,45578,ANA,VGK
42,45579,FLA,BOS
43,45579,LAK,OTT
44,45579,UTA,NJD
45,45579,DET,NYR
46,45579,PIT,MTL
47,45579,NYI,COL
48,45580,VAN,TBL
49,45580,VGK,WSH
50,45580,NJD,CAR
51,45580,FLA,CBJ
52,45580,MIN,STL
53,45580,SEA,NSH
54,45580,SJS,DAL
55,45580,CHI,CGY
56,45580,PHI,EDM
57,45581,BUF,PIT
58,45581,LAK,TOR
59,45581,BOS,COL
60,45581,UTA,ANA
61,45582,LAK,MTL
62,45582,NJD,OTT
63,45582,NYR,DET
64,45582,VGK,TBL
65,45582,VAN,FLA
66,45582,DAL,WSH
67,45582,BUF,CBJ
68,45582,NYI,STL
69,45582,EDM,NSH
70,45582,SJS,CHI
71,45582,PHI,SEA
72,45583,CAR,PIT
73,45583,SJS,WPG
74,45583,ANA,COL
75,45584,TBL,OTT
76,45584,DET,NSH
77,45584,EDM,DAL
78,45584,VGK,FLA
79,45584,NYR,TOR
80,45584,WSH,NJD
81,45584,MTL,NYI
82,45584,VAN,PHI
83,45584,MIN,CBJ
84,45584,CAR,STL
85,45584,BUF,CHI
86,45584,BOS,UTA
87,45584,CGY,SEA
88,45585,PIT,WPG
89,45585,COL,SJS
90,45585,LAK,ANA
91,45586,TBL,TOR
92,45587,WSH,PHI
93,45587,MIN,FLA
94,45587,TBL,NJD
95,45587,DAL,BUF
96,45587,NYR,MTL
